name	cell_type	depth	sparsity
JL_392_2_TAGCTT.txt	Serum 1	219607	13003
JL_392_4_ACTTGA.txt	Serum 1	121881	16092
JL_392_4_CGATGT.txt	Serum 1	175967	13796
JL_392_4_GCCAAT.txt	Serum 1	159107	12774
JL_392_4_TAGCTT.txt	Serum 1	247249	13098
JL_392_5_ACTTGA.txt	Serum 1	214240	13668
JL_392_5_CGATGT.txt	Serum 1	268452	14935
JL_392_5_GCCAAT.txt	Serum 1	225662	15856
JL_392_5_TAGCTT.txt	Serum 1	166897	14672
JL_392_6_ACTTGA.txt	Serum 1	181214	12345
JL_392_6_CGATGT.txt	Serum 1	118571	17621
JL_392_6_GCCAAT.txt	Serum 1	258730	13953
JL_392_6_TAGCTT.txt	Serum 1	228389	15036
JL_392_7_ACTTGA.txt	Serum 1	223056	14421
JL_392_7_CGATGT.txt	Serum 1	140084	11694
JL_392_7_GCCAAT.txt	Serum 1	218660	14834
JL_392_7_TAGCTT.txt	Serum 1	187686	12929
JL_392_8_ACTTGA.txt	Serum 1	386382	15999
JL_392_8_CGATGT.txt	Serum 1	282878	13817
JL_392_8_GCCAAT.txt	Serum 1	473357	17743
JL_392_8_TAGCTT.txt	Serum 1	42101	8627
JL_392_9_ACTTGA.txt	Serum 1	264761	15277
JL_392_9_CGATGT.txt	Serum 1	172664	14789
JL_392_9_GCCAAT.txt	Serum 1	228440	16344
JL_392_9_TAGCTT.txt	Serum 1	313572	16800
JL_443_ACTTGA.txt	Serum 1	107168	10479
JL_443_CGATGT.txt	Serum 1	80276	12081
JL_443_GCCAAT.txt	Serum 1	98852	7123
JL_443_TAGCTT.txt	Serum 1	91861	9850
JL_444_ACTTGA.txt	Serum 1	142338	10836
JL_444_CGATGT.txt	Serum 1	139831	10685
JL_444_GCCAAT.txt	Serum 1	145946	10930
JL_444_TAGCTT.txt	Serum 1	77851	9522
JL_445_ACTTGA.txt	Serum 1	134350	10795
JL_445_CGATGT.txt	Serum 1	91489	10376
JL_445_GCCAAT.txt	Serum 1	104523	12298
JL_445_TAGCTT.txt	Serum 1	89959	10906
JL_446_ACTTGA.txt	Serum 1	110025	9885
JL_446_CGATGT.txt	Serum 1	80587	8217
JL_446_GCCAAT.txt	Serum 1	98506	10522
JL_446_TAGCTT.txt	Serum 1	100660	9260
JL_447_ACTTGA.txt	Serum 1	160175	13089
JL_447_CGATGT.txt	Serum 1	101041	15388
JL_447_GCCAAT.txt	Serum 1	128245	11732
JL_447_TAGCTT.txt	Serum 1	121015	11861
JL_457_10_TAGCTT.txt	Serum 1	71116	12695
JL_457_11_CGATGT.txt	Serum 1	82966	12238
JL_457_11_GCCAAT.txt	Serum 1	81845	13204
JL_457_2_ACTTGA.txt	Serum 1	82658	12864
JL_458_1_ACTTGA.txt	Serum 1	49040	14285
JL_458_1_CGATGT.txt	Serum 1	39219	10940
JL_458_10_TAGCTT.txt	Serum 1	36737	14302
JL_458_11_CGATGT.txt	Serum 1	47451	10933
JL_458_11_GCCAAT.txt	Serum 1	80573	13460
JL_458_12_ACTTGA.txt	Serum 1	72308	14510
JL_458_2_CGATGT.txt	Serum 1	53978	11691
JL_458_2_TAGCTT.txt	Serum 1	41957	13128
JL_458_3_CGATGT.txt	Serum 1	58745	13941
JL_458_3_TAGCTT.txt	Serum 1	37123	7564
JL_458_4_CGATGT.txt	Serum 1	67107	14971
JL_458_5_TAGCTT.txt	Serum 1	33505	11220
JL_458_6_ACTTGA.txt	Serum 1	56028	10487
JL_458_6_GCCAAT.txt	Serum 1	55276	13757
JL_458_7_ACTTGA.txt	Serum 1	91289	16586
JL_458_7_GCCAAT.txt	Serum 1	111485	16708
JL_458_8_ACTTGA.txt	Serum 1	79228	18830
JL_458_9_ACTTGA.txt	Serum 1	67252	14597
JL_458_9_CGATGT.txt	Serum 1	22969	4410
JL_458_1_TAGCTT.txt	Serum 2	47165	10415
JL_458_10_ACTTGA.txt	Serum 2	65540	13621
JL_458_10_CGATGT.txt	Serum 2	34627	11009
JL_458_10_GCCAAT.txt	Serum 2	50596	12005
JL_458_11_ACTTGA.txt	Serum 2	43047	13563
JL_458_11_TAGCTT.txt	Serum 2	57341	12247
JL_458_12_CGATGT.txt	Serum 2	37991	10329
JL_458_12_GCCAAT.txt	Serum 2	49368	11567
JL_458_12_TAGCTT.txt	Serum 2	30600	4644
JL_458_2_ACTTGA.txt	Serum 2	37758	13336
JL_458_2_GCCAAT.txt	Serum 2	53235	14322
JL_458_3_ACTTGA.txt	Serum 2	56457	11893
JL_458_3_GCCAAT.txt	Serum 2	42448	11582
JL_458_4_ACTTGA.txt	Serum 2	73212	15505
JL_458_4_GCCAAT.txt	Serum 2	55579	14726
JL_458_4_TAGCTT.txt	Serum 2	57710	14485
JL_458_5_GCCAAT.txt	Serum 2	58752	10708
JL_458_6_CGATGT.txt	Serum 2	24761	5669
JL_458_6_TAGCTT.txt	Serum 2	36057	12894
JL_458_7_CGATGT.txt	Serum 2	68514	12805
JL_458_7_TAGCTT.txt	Serum 2	91450	14716
JL_458_8_CGATGT.txt	Serum 2	45415	10980
JL_458_8_GCCAAT.txt	Serum 2	91708	16219
JL_458_9_GCCAAT.txt	Serum 2	68279	17223
JL_458_9_TAGCTT.txt	Serum 2	43273	6769
